Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type
RideCo On-Demand Transit,Business Data Analyst,"Waterloo, ON",2 weeks ago,Hybrid,Full-time,
Trillium Health Partners,Performance Analytics Advisor,"Mississauga, ON",18 hours ago,Hybrid,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level
Cognizant,Data Analytics Specialist,"Brampton, ON",18 hours ago,On-site,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Yarmouth, NS",2 days ago,Remote,Part-time,Entry Level
Global Pharma Tek,Data Analytical Specialist,"Toronto, ON",5 months ago,On-site,,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 days ago,Remote,Part-time,Entry Level
Seneca Polytechnic,"Senior Analyst, HR Technology and Analytics - 6 month contract","North York, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Coveo,Data Analyst Intern (Finances Team),"Clarke City, QC",1 month ago,On-site,,
Campus4Tech,"As An Public Relation Specialist, Are You Considering Pivoting Your Career To Data Analyst",Canada,6 days ago,Remote,Full-time,Associate
Deloitte,"Open-Source Intelligence Analyst/Senior Associate, Forensic","Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
UST,Business Analyst - Data extraction,"Toronto, ON",4 days ago,,Full-time,Mid-Senior Level
EXL,"Business Data Analyst, Product","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
HOOPP (Healthcare of Ontario Pension Plan),"Analyst, Pension Accounting – Reporting and Analytics (12-month Contract)","Toronto, ON",1 week ago,Hybrid,Full-time,Entry Level
Oeson Learning™,Data Analytics Training & Internship,Canada,4 hours ago,Remote,,
N-able,Customer Insights Analyst,"Ottawa, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
J.D. Power,Automotive Data Researcher,"London, ON",1 week ago,Remote,Full-time,Entry Level
BCG X,"Data Scientist Intern, Campus, Canada - BCG X","Toronto, ON",1 week ago,,Full-time,
Cititec Talent,"Business Analyst - Compliance, Regulatory & Data","Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level
"J.D. Irving, Limited",Associate Data Analyst - Co-Op Student,"Dieppe, NB",3 days ago,,Full-time,
Peroptyx,Data Analyst (0 Experience Required),"Toronto, ON",4 hours ago,Remote,,Entry Level
Questrade Financial Group,"Analyst, Market & Competitive Intelligence","North York, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Riverside Natural Foods Ltd. (Home of MadeGood),SAP Master Data Analyst,"Toronto, ON",1 week ago,On-site,,
"PENN Entertainment, Inc","Data Analyst, Enterprise","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
LotusFlare,Data Analyst,"Toronto, ON",2 weeks ago,On-site,Full-time,
Tata Consultancy Services,Power BI Analyst,"Toronto, ON",4 weeks ago,On-site,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level
North York General Hospital,"Analytics Consultant - Business Intelligence, FT (J1024-0201)","Toronto, ON",Reposted 1 week ago,On-site,Full-time,
TELUS Digital AI Data Solutions,Online Data Analyst,"Spruce Grove, AB",2 days ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Corner Brook, NL",2 days ago,Remote,Part-time,Entry Level
Compeer Financial,Intern Data Analytics,"Compeer, AB",Reposted 1 month ago,On-site,,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"White Rock, BC",5 hours ago,Remote,Part-time,Entry Level
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 1 week ago,,Full-time,Associate
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Richmond Hill, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level
Motorola Solutions,Marketing and Inside Sales Data Analyst,Canada,5 days ago,Remote,Full-time,Mid-Senior Level
Canadian Nuclear Laboratories,Data Analyst,"Port Hope, ON",4 months ago,Remote,Full-time,
Allstate Canada,Claims Intelligence Senior Insights Analyst,"Markham, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Westlake Pipe & Fittings,Power BI Reporting Specialist - Contract 12 Months,"Woodbridge, ON",Reposted 1 hour ago,On-site,Full-time,Entry Level
IQVIA,"Consultant, Services de conseil et d’analyse / Consultant, Consulting & Analytics Services","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,
Sobeys,"Analyst Business Intelligence, Contract","Edmonton, AB",4 days ago,Hybrid,,Entry Level
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Waterloo, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level
Campus4Tech,Are You A Program Administrator Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate
Beatdapp,Data Analyst and Labeller,"Vancouver, BC",1 day ago,Hybrid,Full-time,Entry Level
HOOPP (Healthcare of Ontario Pension Plan),"Sr. Analyst, Data Science and Analytics Solutions (12–15-month contract)","Toronto, ON",2 weeks ago,Hybrid,Full-time,
Peroptyx,Data Analyst (0 Experience Required),Canada,3 hours ago,Remote,,Entry Level
Sobeys,"Senior Financial Analyst, Sourcing & Analytics","Mississauga, ON",2 weeks ago,Hybrid,Full-time,Mid-Senior Level
HOOPP (Healthcare of Ontario Pension Plan),"Sr. Analyst, Analytics (12-month contract)","Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level
Fengate Asset Management,"Senior Analyst, Data Analytics (18-month Contract)","Oakville, ON",1 week ago,Hybrid,,Associate
Amazech Solutions,Senior Business Intelligence Specialist,"Toronto, ON",3 days ago,Hybrid,,Mid-Senior Level
