Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
goeasy Ltd.,Data Analyst,"Mississauga, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110254
McKesson,Data Science Intern - Winter 2025,"Edmonton, AB",6 days ago,,Full-time,Mid-Senior Level,2024-11-03 14:19:19.110258
O2E Brands,Data Analyst,"North York, ON",2 months ago,Hybrid,Full-time,Entry Level,2024-09-10 14:19:19.110262
Paralucent,Marketing Data Analyst (PL618),"Ontario, Canada",2 months ago,Hybrid,Full-time,Mid-Senior Level,2024-09-10 14:19:19.110265
Clipboard Health,Sales Data Analyst,NAMER,Reposted 3 weeks ago,Remote,Full-time,Entry Level,2024-10-19 14:19:19.110268
City of Brampton,Assistant Asset Management Data Analyst – Co-op,"Brampton, ON",1 week ago,Hybrid,,Mid-Senior Level,2024-11-02 14:19:19.110272
Siemens,Data Analyst - co-op - Winter 2025,"Concord, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110276
TELUS Digital,Online Data Analyst,"North Bay, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110280
TELUS Digital,Online Data Analyst,"Hawkesbury, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110285
Affirm,"Analyst I, Growth Analytics","Kitchener, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110289
Cogeco Connexion,Digital Data Analyst,"Burlington, ON",3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.110293
Transamerica,"Data Analyst, Agent Insurance Supervision","Toronto, ON",5 days ago,Hybrid,Full-time,Entry Level,2024-11-04 14:19:19.110297
Darkhorse Analytics,Data Visualization Analyst,"Edmonton, AB",2 weeks ago,Hybrid,Full-time,Entry Level,2024-10-26 14:19:19.110300
Citi,IT Business Data Analyst,"Mississauga, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.110304
Affirm,"Analyst I, Growth Analytics","Ottawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110308
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Mississauga, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110312
407 ETR,Sr. Data Analyst,"Woodbridge, ON",Reposted 6 days ago,On-site,Full-time,Mid-Senior Level,2024-11-03 14:19:19.110316
York Region (The Regional Municipality of York),Statistical Data Analyst,"Newmarket, ON",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.110320
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.110323
TELUS Digital,Online Data Analyst,"Welland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110328
JLL,Operational Data Analyst,"Toronto, ON",3 days ago,Remote,Full-time,Associate,2024-11-06 14:19:19.110333
TELUS Digital,Online Data Analyst,"Russell, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110336
Southlake Regional Health Centre,"Data Analyst- Surgical Program, Thoracic Surgery","Newmarket, ON",2 weeks ago,On-site,Part-time,Entry Level,2024-10-26 14:19:19.110341
CAMH,Data Analyst - 988 Crisis Service,"Toronto, ON",1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110346
Sobeys,Retail Insights Data Specialist,"Mississauga, ON",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.110349
Affirm,"Analyst I, Growth Analytics","London, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110365
Alimentiv,Clinical Data Analyst,"Toronto, ON",Reposted 1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110376
Touchstone Institute,Expression of Interest (Data Analytics & Psychometrician Services Required),"Toronto, ON",5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.110390
Canadian Tire Corporation,Forecasting Analyst (Evergreen),"Toronto, ON",7 months ago,Hybrid,Full-time,Entry Level,2024-04-13 14:19:19.110394
TELUS Digital AI Data Solutions,Online Data Analyst,"Fort Liard, NT",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110399
RBC,Client Intelligence Analytics,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110403
TELUS Digital AI Data Solutions,Online Data Analyst,"Taloyok, NU",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110407
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.110412
Affirm,"Analyst I, Growth Analytics","Windsor, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110417
J&M Group,Data Governance Analyst,"Toronto, ON",2 months ago,On-site,,,2024-09-10 14:19:19.110422
SiriusXM Canada,"Analyst, Contact Centre Reporting and Analytics","Toronto, ON",4 months ago,On-site,Full-time,Entry Level,2024-07-12 14:19:19.110427
LTIMindtree,Data Business System Analyst,Canada,1 week ago,Remote,,,2024-11-02 14:19:19.110431
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level,2024-11-05 14:19:19.110436
Shoppers Drug Mart,"Senior Analyst, Pricing Analytics (12 Month Contract)","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110440
Flashpoint,Intelligence Analyst II,Canada,3 weeks ago,Remote,Full-time,Associate,2024-10-19 14:19:19.110444
DataAnnotation,Data Analyst,Canada,Reposted 1 week ago,Remote,,Mid-Senior Level,2024-11-02 14:19:19.110449
Nestlé Nespresso SA,IT Business Intelligence Intern,"Montreal, QC",6 hours ago,Hybrid,,Associate,2024-11-09 08:19:19.110453
TELUS Digital,Online Data Analyst,"Clarence-Rockland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110459
Definity,"Data Scientist, Finance Transformation","Waterloo, ON",Reposted 4 days ago,Hybrid,Full-time,,2024-11-05 14:19:19.110464
HelloFresh,Staff Data Analyst,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110468
The Salvation Army in Canada,"Data Analyst, Salesforce","Toronto, ON",3 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-19 14:19:19.110472
Watson Building Supplies a GMS Company,Data Analyst,"Vaughan, ON",20 hours ago,Hybrid,Full-time,Entry Level,2024-11-08 18:19:19.110484
Campus4Tech,Are You An Account Executive Looking To Transition Your Career To Become Data Analyst,Canada,4 days ago,Remote,Full-time,Associate,2024-11-05 14:19:19.110506
"PENN Entertainment, Inc","Data Analyst, Marketing","Toronto, ON",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.110512
Cision,Media Intelligence Analyst,"Ottawa, ON",2 weeks ago,Remote,Full-time,Entry Level,2024-10-26 14:19:19.110515
TELUS Digital AI Data Solutions,Online Data Analyst,Canada,2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110519
New Flyer,Connect Data Analyst,"Winnipeg, MB",3 weeks ago,On-site,Full-time,Associate,2024-10-19 14:19:19.110523
RideCo On-Demand Transit,Business Data Analyst,"Waterloo, ON",2 weeks ago,Hybrid,Full-time,,2024-10-26 14:19:19.110553
Trillium Health Partners,Performance Analytics Advisor,"Mississauga, ON",18 hours ago,Hybrid,Full-time,Entry Level,2024-11-08 20:19:19.110557
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110562
Cognizant,Data Analytics Specialist,"Brampton, ON",18 hours ago,On-site,Full-time,Entry Level,2024-11-08 20:19:19.110565
TELUS Digital AI Data Solutions,Online Data Analyst,"Yarmouth, NS",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110570
Global Pharma Tek,Data Analytical Specialist,"Toronto, ON",5 months ago,On-site,,Entry Level,2024-06-12 14:19:19.110573
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.110578
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110582
Seneca Polytechnic,"Senior Analyst, HR Technology and Analytics - 6 month contract","North York, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110589
Coveo,Data Analyst Intern (Finances Team),"Clarke City, QC",1 month ago,On-site,,,2024-10-10 14:19:19.110594
Campus4Tech,"As An Public Relation Specialist, Are You Considering Pivoting Your Career To Data Analyst",Canada,6 days ago,Remote,Full-time,Associate,2024-11-03 14:19:19.110629
Deloitte,"Open-Source Intelligence Analyst/Senior Associate, Forensic","Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110633
UST,Business Analyst - Data extraction,"Toronto, ON",4 days ago,,Full-time,Mid-Senior Level,2024-11-05 14:19:19.110638
EXL,"Business Data Analyst, Product","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-19 14:19:19.110642
HOOPP (Healthcare of Ontario Pension Plan),"Analyst, Pension Accounting – Reporting and Analytics (12-month Contract)","Toronto, ON",1 week ago,Hybrid,Full-time,Entry Level,2024-11-02 14:19:19.110646
Oeson Learning™,Data Analytics Training & Internship,Canada,4 hours ago,Remote,,,2024-11-09 10:19:19.110651
N-able,Customer Insights Analyst,"Ottawa, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110655
J.D. Power,Automotive Data Researcher,"London, ON",1 week ago,Remote,Full-time,Entry Level,2024-11-02 14:19:19.110659
BCG X,"Data Scientist Intern, Campus, Canada - BCG X","Toronto, ON",1 week ago,,Full-time,,2024-11-02 14:19:19.110663
Cititec Talent,"Business Analyst - Compliance, Regulatory & Data","Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110666
"J.D. Irving, Limited",Associate Data Analyst - Co-Op Student,"Dieppe, NB",3 days ago,,Full-time,,2024-11-06 14:19:19.110670
Peroptyx,Data Analyst (0 Experience Required),"Toronto, ON",4 hours ago,Remote,,Entry Level,2024-11-09 10:19:19.110673
Questrade Financial Group,"Analyst, Market & Competitive Intelligence","North York, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110677
Riverside Natural Foods Ltd. (Home of MadeGood),SAP Master Data Analyst,"Toronto, ON",1 week ago,On-site,,,2024-11-02 14:19:19.110681
"PENN Entertainment, Inc","Data Analyst, Enterprise","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110684
LotusFlare,Data Analyst,"Toronto, ON",2 weeks ago,On-site,Full-time,,2024-10-26 14:19:19.110688
Tata Consultancy Services,Power BI Analyst,"Toronto, ON",4 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-12 14:19:19.110692
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110696
North York General Hospital,"Analytics Consultant - Business Intelligence, FT (J1024-0201)","Toronto, ON",Reposted 1 week ago,On-site,Full-time,,2024-11-02 14:19:19.110699
TELUS Digital AI Data Solutions,Online Data Analyst,"Spruce Grove, AB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110704
TELUS Digital AI Data Solutions,Online Data Analyst,"Corner Brook, NL",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.110708
Compeer Financial,Intern Data Analytics,"Compeer, AB",Reposted 1 month ago,On-site,,Mid-Senior Level,2024-10-10 14:19:19.110712
TELUS Digital AI Data Solutions,Online Data Analyst,"White Rock, BC",5 hours ago,Remote,Part-time,Entry Level,2024-11-09 09:19:19.110716
