Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
The Venus Consultancy Ltd,Operational Analyst - Data Governance - Vancouver Remote,"Vancouver, BC",3 months ago,On-site,Full-time,Associate,2024-08-11 14:19:19.113004
Epic Games,Principal Data Scientist,Greater Montreal Metropolitan Area,Reposted 7 hours ago,On-site,Full-time,Mid-Senior Level,2024-11-09 07:19:19.113013
Chainalysis,"Intelligence Analyst, Cybercrime","Vancouver, BC",1 month ago,,Full-time,Mid-Senior Level,2024-10-10 14:19:19.113024
Eastlink,BSS Analyst,"Halifax, NS",3 weeks ago,Hybrid,Full-time,,2024-10-19 14:19:19.113035
Desjardins,Analyste en valorisation de données - FR,"Montreal, QC",19 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 19:19:19.113060
Altea Healthcare,Senior Data Analyst,"Burnaby, BC",1 week ago,On-site,Full-time,Associate,2024-11-02 14:19:19.113070
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113079
"GEI Consultants, Inc.",Asset Management Consultant and Data Analyst,"Barrie, ON",1 month ago,On-site,,Entry Level,2024-10-10 14:19:19.113088
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.113096
TELUS Digital,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113104
Astek,Data Analyst,"Toronto, ON",1 week ago,Hybrid,,Associate,2024-11-02 14:19:19.113113
TELUS Digital AI Data Solutions,Online Data Analyst,"Spruce Grove, AB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.113122
TELUS Digital,Online Data Analyst,"Lakeshore, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113130
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.113139
Affirm,"Analyst I, Growth Analytics","Windsor, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113148
Affirm,"Analyst I, Growth Analytics","Ottawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113157
TELUS Digital,Online Data Analyst,"Welland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113166
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.113175
TELUS Digital,Online Data Analyst,"Russell, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113184
Affirm,"Analyst I, Growth Analytics","London, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113193
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level,2024-11-05 14:19:19.113203
Infosys,Senior Analyst - Analytics Technology,"Mississauga, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113210
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 4 days ago,,Full-time,Associate,2024-11-05 14:19:19.113220
Campus4Tech,Are You A Recruiter Looking To Transition Your Career To Become Data Analyst,Canada,6 days ago,Remote,Full-time,Associate,2024-11-03 14:19:19.113229
Aston Carter,Franchise Data Analyst,"Toronto, ON",4 hours ago,Hybrid,,Entry Level,2024-11-09 10:19:19.113236
Sobeys,Retail Insights Data Specialist,"Stellarton, NS",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.113245
Campus4Tech,Are You A Risk Manager Looking To Transition Your Career To Become Data Analyst,Canada,4 days ago,Remote,Full-time,Mid-Senior Level,2024-11-05 14:19:19.113255
Outlier,AI Math Analyst,"Newmarket, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113262
Campus4Tech,Are You A Maintenance Technician Looking To Transition Your Career To Become Data Analyst,Canada,5 days ago,Remote,Full-time,Associate,2024-11-04 14:19:19.113270
Sobeys,"Analyst Business Intelligence, Contract","Stellarton, NS",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.113283
Outlier,AI Math Analyst,"Vaughan, ON",2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.113297
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.113345
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.113387
TELUS Digital,Online Data Analyst,"Clarence-Rockland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113395
TELUS Digital AI Data Solutions,Online Data Analyst,Canada,2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.113404
TELUS Digital AI Data Solutions,Online Data Analyst,"Corner Brook, NL",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.113411
TELUS Digital,Online Data Analyst,"Rouyn-Noranda, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113419
Campus4Tech,Are You A Quality Control Inspector Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate,2024-11-06 14:19:19.113427
Sobeys,"Analyst Business Intelligence, Contract","Calgary, AB",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.113434
Outlier,AI Math Analyst,"Caledon, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113441
Outlier,Work from Home - AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113451
TELUS Digital,Online Data Analyst,"Saint-Eustache, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113459
Outlier,AI Math Analyst,"Burlington, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113467
TELUS Digital,Online Data Analyst,"Terrebonne, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113475
HireKeyz Inc,Power BI (Expert),"Montreal, QC",3 months ago,On-site,,,2024-08-11 14:19:19.113484
Outlier,AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113492
Affirm,"Analyst I, Growth Analytics","Edmonton, AB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113500
AstraZeneca,Senior Statistician,"Mississauga, ON",21 hours ago,,Full-time,Associate,2024-11-08 17:19:19.113509
Affirm,"Analyst I, Growth Analytics","Winnipeg, MB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113518
"Varsity Tutors, a Nerdy Company",Remote Econometrics Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113526
Affirm,"Analyst II, Forecasting Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113535
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113543
Affirm,"Analyst II, Forecasting Analytics","Windsor, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113551
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113560
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",Reposted 1 week ago,On-site,Full-time,,2024-11-02 14:19:19.113568
Sobeys,"Senior Financial Analyst, Sourcing & Analytics","Stellarton, NS",2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113596
TELUS Digital AI Data Solutions,Online Data Analyst,"White Rock, BC",6 hours ago,Remote,Part-time,Entry Level,2024-11-09 08:19:19.113605
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",6 hours ago,Remote,Part-time,Entry Level,2024-11-09 08:19:19.113614
TELUS Digital AI Data Solutions,Online Data Analyst,"Manitoba, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.113622
TELUS Digital AI Data Solutions,Online Data Analyst,"Winkler, MB",6 hours ago,Remote,Part-time,Entry Level,2024-11-09 08:19:19.113630
Outlier,AI Math Analyst,"Ajax, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113639
Outlier,AI Math Analyst,"Oakville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113648
Outlier,AI Math Analyst,"Aurora, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113657
Outlier,AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.113666
TELUS Digital,Online Data Analyst,"Victoriaville, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113674
TELUS Digital,Online Data Analyst,"St-Hyacinthe, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113683
TELUS Digital,Online Data Analyst,"Thérèse-De Blainville Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.113692
TELUS Digital,Online Data Analyst,"Laprairie, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113701
Affirm,"Analyst II, Forecasting Analytics","Kitchener, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113710
Affirm,"Analyst I, Growth Analytics","Regina, SK",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113719
Affirm,"Analyst II, Forecasting Analytics","Oshawa, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113728
Affirm,"Analyst II, Forecasting Analytics","Hamilton, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113738
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Nova Scotia, Canada",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113746
CIBC,"Senior Analyst, Performance Analytics - Montreal - Bilingual","Montreal, QC",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113754
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113762
Sobeys,Retail Insights Data Specialist,"Calgary, AB",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.113769
Scotiabank - Global Banking and Markets,Senior Analyst Financial Analytics & Business Intelligence- International Banking Finance (6 month),"Toronto, ON",5 days ago,On-site,,Mid-Senior Level,2024-11-04 14:19:19.113782
Sobeys,Retail Insights Data Specialist,"Dartmouth, NS",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.113789
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,Greater Trois-Rivieres Metropolitan Area,Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113797
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Vancouver, BC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113805
2iSolutions Inc.,Business Intelligence Specialist - Senior,"Ontario, Canada",7 hours ago,Hybrid,,Entry Level,2024-11-09 07:19:19.113812
"GEI Consultants, Inc.",Asset Management Consultant and Data Analyst,"Guelph, ON",1 month ago,On-site,,Entry Level,2024-10-10 14:19:19.113820
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.113828
Outlier,AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113837
Outlier,AI Math Analyst,"Norfolk County, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113844
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.113851
TELUS Digital AI Data Solutions,Online Data Analyst,"Quebec, Canada",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.113859
TELUS Digital AI Data Solutions,Online Data Analyst,"Blainville, QC",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.113867
TELUS Digital,Online Data Analyst,"Beloeil, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113876
Outlier,AI Math Analyst,"Kawartha Lakes, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.113883
TELUS Digital,Online Data Analyst,"Sorel-Tracy, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113891
TELUS Digital,Online Data Analyst,"Brossard, QC",2 weeks ago,Remote,,,2024-10-26 14:19:19.113899
TELUS Digital,Online Data Analyst,"Magog, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.113907
Outlier,AI Math Analyst,"Belleville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.113915
Affirm,"Analyst I, Growth Analytics","Calgary, AB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113923
Affirm,"Analyst I, Growth Analytics","Queens, PE",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113931
Affirm,"Analyst II, Forecasting Analytics","London, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.113940
Affirm,"Analyst I, Growth Analytics","Victoria, BC",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.113949
Desjardins,"Analyst, Data valorization- EN","Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.113957
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Montreal, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.113965
Capgemini,Applications Consultant 2 - BI Senior Consultant,"Toronto, ON",18 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 20:19:19.113973
Humber River Health,Senior Clinical Analyst,"Greater Toronto Area, Canada",3 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-19 14:19:19.113981
eStaffing Inc.,"As A Finance Coordinator, Are You Considering Pivoting Your Career To Data Analyst","Alberta, Canada",13 hours ago,Remote,Full-time,,2024-11-09 01:19:19.113989
eStaffing Inc.,Are You An Auditing Clerk Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",13 hours ago,Remote,Full-time,,2024-11-09 01:19:19.113998
AMANST Inc.,Business Intelligence Specialist - Senior,"Toronto, ON",2 days ago,Hybrid,,Entry Level,2024-11-07 14:19:19.114006
iGaming Ontario,"Senior Analyst, Market Insights","North York, ON",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.114014
"GEI Consultants, Inc.",Asset Management Consultant and Data Analyst,"Stoney Creek, ON",6 months ago,On-site,,Entry Level,2024-05-13 14:19:19.114022
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.114030
TD,Analyste en Intelligence d'Affaire,"Toronto, ON",3 weeks ago,Hybrid,Full-time,Entry Level,2024-10-19 14:19:19.114038
TELUS Digital AI Data Solutions,Online Data Analyst,Greater Quebec City Metropolitan Area,2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114046
TELUS Digital AI Data Solutions,Online Data Analyst,"Lanaudière, QC",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114054
TELUS Digital AI Data Solutions,Online Data Analyst,"Les Laurentides Regional County Municipality, QC",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114062
TELUS Digital,Online Data Analyst,"Quebec City metropolitan community, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.114070
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.114079
Outlier,AI Math Analyst,"Kingston, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.114087
Outlier,AI Math Analyst,"Thunder Bay, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.114094
TELUS Digital,Online Data Analyst Canada (French Language),Canada,Reposted 2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114101
TELUS Digital,Online Data Analyst,"Roussillon Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.114109
Affirm,"Analyst I, Growth Analytics","Saskatoon, SK",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.114118
Affirm,"Analyst II, Forecasting Analytics","Ottawa, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.114126
Outlier,AI Math Analyst,"Chatham-Kent, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.114134
Career Renew,Senior Researcher - Crypto,Canada,1 month ago,Remote,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114142
Affirm,"Analyst II, Forecasting Analytics","Queens, PE",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.114149
Affirm,"Analyst II, Forecasting Analytics","Winnipeg, MB",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.114157
Outlier,AI Math Analyst,"Greater Sudbury, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.114167
J&M Group,BUSINESS ANALYST MAINFRAME SAS,"Toronto, ON",3 months ago,On-site,,Entry Level,2024-08-11 14:19:19.114174
eStaffing Inc.,Are You A Material Handler Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",1 week ago,Remote,Full-time,,2024-11-02 14:19:19.114181
Tiger Analytics,Sr Consultant/ Manager - Analytics Consulting (Healthcare),"Toronto, ON",2 months ago,Remote,Full-time,Mid-Senior Level,2024-09-10 14:19:19.114189
eStaffing Inc.,Are You A Program Assistant Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.114196
eStaffing Inc.,Are You A Receptionist Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",4 days ago,Remote,Full-time,,2024-11-05 14:19:19.114203
KPMG Canada,"Senior Consultant, Financial Crimes Models & Analytics","Toronto, ON",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114210
TELUS Digital AI Data Solutions,Online Data Analyst,"Nunavut, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114217
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.114225
TELUS Digital AI Data Solutions,Online Data Analyst,"Newfoundland and Labrador, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114233
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.114241
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.114249
Affirm,"Analyst II, Forecasting Analytics","Saskatoon, SK",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.114257
Affirm,"Analyst II, Forecasting Analytics",Greater St. John's Metropolitan Area,Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.114265
Affirm,"Analyst I, Growth Analytics","Kelowna, BC",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.114274
Outlier,Work from Home - AI Math Analyst,"Grande Prairie, AB",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.114282
Affirm,"Analyst I, Growth Analytics","Halifax, NS",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.114290
Outlier,Work from Home - AI Math Analyst,"Saint John, NB",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.114299
Outlier,Work from Home - AI Math Analyst,"Kelowna, BC",2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.114307
Outlier,Work from Home - AI Math Analyst,"Montreal, QC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.114314
J&M Group,SAS On Prem Analyst,"Mississauga, ON",7 months ago,On-site,,Entry Level,2024-04-13 14:19:19.114321
TekStaff IT Solutions,"Senior Data Analyst, SLC Data Platform","Waterloo, ON",8 hours ago,On-site,Full-time,Entry Level,2024-11-09 06:19:19.114329
Norbec,Spécialiste BI & analyste de données,"Boucherville, QC",Reposted 1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.114338
CGS Federal (Contact Government Services),Systems Analyst (Data Analytics),"Yellowstone, AB",1 month ago,Hybrid,Full-time,,2024-10-10 14:19:19.114347
Bevertec,Business Intelligence Specialists – Senior,"Toronto, ON",3 days ago,Hybrid,,Mid-Senior Level,2024-11-06 14:19:19.114356
Canadian Nuclear Laboratories,Senior Information Analyst,"Chalk River, ON",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.114364
Altitude-sports.com,Analyste en intelligence d'affaires | Business Intelligence Analyst,"Montreal, QC",Reposted 1 month ago,Remote,Part-time,Entry Level,2024-10-10 14:19:19.114373
LexisNexis,Senior Data Scientist I,"Toronto, ON",2 months ago,On-site,Full-time,Mid-Senior Level,2024-09-10 14:19:19.114382
Capgemini,Applications Consultant 2 - BI Senior Consultant,"Ontario, Canada",1 day ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 14:19:19.114389
Keurig Dr Pepper Inc.,"Analyste, Intelligence consommateurs | Consumer Insights Analyst","Montreal, QC",3 weeks ago,Hybrid,Full-time,,2024-10-19 14:19:19.114396
Nuvoola AI,BI Specialist,"Québec, QC",1 year ago,Remote,Full-time,Mid-Senior Level,2023-11-10 14:19:19.114404
Extendicare,Sr. HR Systems Analyst (Workday Payroll),"Markham, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114415
Desjardins,Analyste en valorisation de données - FR,"Montreal, QC",19 hours ago,Hybrid,Full-time,,2024-11-08 19:19:19.114422
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"West Vancouver, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114430
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"New Westminster, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114437
tsworks,Lead Data Analyst / Power BI,"Vancouver, BC",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114446
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Richmond, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114467
Fraser Health Authority,"Evaluation Analyst, Mental Health & Substance Use Services (MH&SUS)","New Westminster, BC",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.114475
Benchmark Recruitment,Senior Technical Analyst - BI Developer,"Richmond, BC",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114482
Syneos Health,Infirmier.ère analyste de données de sécurité,Greater Quebec City Metropolitan Area,3 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-19 14:19:19.114489
Benchmark Recruitment,"Seniorr Digital Analyst, Web Analytics & Paid Media","Vancouver, BC",2 weeks ago,Hybrid,,Mid-Senior Level,2024-10-26 14:19:19.114497
Humankind Global Recruitment,Research & Consumer Insights Senior Specialist (1 Year Contract),"Halifax, NS",5 days ago,Hybrid,,Mid-Senior Level,2024-11-04 14:19:19.114506
Pharmascience,Expert Analyst,"Candiac, QC",3 weeks ago,On-site,Full-time,,2024-10-19 14:19:19.114513
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Surrey, BC",3 months ago,On-site,Full-time,Mid-Senior Level,2024-08-11 14:19:19.114522
Baycrest,Senior Biostatistician,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.114529
Croix Bleue du Québec,Analyste de données en intelligence d'affaires,"Montreal, QC",Reposted 3 weeks ago,Remote,Full-time,,2024-10-19 14:19:19.114537
Canadian Armed Forces | Forces armées canadiennes,Intelligence Officer,"Oromocto, NB",Reposted 3 weeks ago,,Full-time,,2024-10-19 14:19:19.114546
Ubisoft,Analyste de Données Senior,"Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114555
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Delta, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114562
Ubisoft,"Analyste Senior, Live Analytics","Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114570
Altea Healthcare,Senior Data Analyst,"Burnaby, BC",1 week ago,On-site,Full-time,Associate,2024-11-02 14:19:19.114577
BrokerLink,Senior Analytics Consultant,"Calgary, AB",Reposted 1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114585
Northeastern University,Part-Time Lecturer – Applied Machine Intelligence (Vancouver),"Vancouver, BC",1 year ago,On-site,Part-time,Entry Level,2023-11-10 14:19:19.114593
Université du Québec en Outaouais,24-07-039 Agente ou agent de recherche à l'analyse des données institutionnelles au Rectorat,"Gatineau, QC",1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.114602
Emmes,Senior Biostatistician,"Vancouver, BC",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.114611
Provincial Health Services Authority,Research - Senior Methodologist - BC Cancer Research Institute - Vancouver,"Vancouver, BC",4 months ago,Hybrid,Full-time,Mid-Senior Level,2024-07-12 14:19:19.114619
Desjardins,Analyste en valorisation de données - FR,"Montreal, QC",19 hours ago,Hybrid,Full-time,,2024-11-08 19:19:19.114627
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"West Vancouver, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114635
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"New Westminster, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114643
tsworks,Lead Data Analyst / Power BI,"Vancouver, BC",1 month ago,Hybrid,Full-time,,2024-10-10 14:19:19.114650
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Richmond, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114658
Fraser Health Authority,"Evaluation Analyst, Mental Health & Substance Use Services (MH&SUS)","New Westminster, BC",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.114665
Benchmark Recruitment,Senior Technical Analyst - BI Developer,"Richmond, BC",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114673
Syneos Health,Infirmier.ère analyste de données de sécurité,Greater Quebec City Metropolitan Area,3 weeks ago,On-site,Full-time,,2024-10-19 14:19:19.114680
Benchmark Recruitment,"Seniorr Digital Analyst, Web Analytics & Paid Media","Vancouver, BC",2 weeks ago,Hybrid,,Mid-Senior Level,2024-10-26 14:19:19.114688
Humankind Global Recruitment,Research & Consumer Insights Senior Specialist (1 Year Contract),"Halifax, NS",5 days ago,Hybrid,,Mid-Senior Level,2024-11-04 14:19:19.114696
Pharmascience,Expert Analyst,"Candiac, QC",3 weeks ago,On-site,Full-time,,2024-10-19 14:19:19.114704
